Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC00000,0,Cu,nanoparticle,0.00000005,Danio rerio,,,,,,,
ATC00000,1,Cu,nanoparticle,0.00000005,Oncorhynchus mykiss,,,,,,,
ATC00000,2,Cu,nanoparticle,0.00000005,Pimephales promelas,,,,,,,
ATC00003,0,TiO2,nanoparticle,,Ceriodaphnia dubia,0.0076,,,,,,
ATC00003,1,TiO2,nanoparticle,,Ceriodaphnia dubia,0.1,,,,,,
ATC00003,2,TiO2,nanoparticle,,Daphnia pulex,0.0092,,,,,,
ATC00003,3,TiO2,nanoparticle,,Daphnia pulex,,,,,,,
ATC00003,4,TiO2,nanoparticle,,Pseudokirchneriella subcapitata,,,,,,,
ATC00003,5,TiO2,nanoparticle,,Pseudokirchneriella subcapitata,,,,,,,
ATC00008,1,TiO2,nanoparticle,,,,,,,,,
ATC00010,3,CdSe,nanoparticle,,,,,,,,,
ATC00010,7,Ag,nanoparticle,,,,,,,,,
ATC00010,10,ZnO,nanoparticle,,Danio rerio,,,,,,,
ATC00011,0,Cu,nanoparticle,,,,,,,,,
ATC00011,1,Ag,nanoparticle,,,,,,,,,
ATC00015,0,CdSe,dot,,,,,,,,,
ATC00025,0,CeO2,nanoparticle,,Danio rerio,,,,,,,
ATC00025,1,CeO2,nanoparticle,,Daphnia magna,,,,,,,
ATC00025,2,CeO2,nanoparticle,,Vibrio fischeri,,,,,,,
ATC00026,0,TiO2,nanoparticle,,,,,,,,,
ATC00026,1,TiO2,nanoparticle,,,,,,,,,
ATC00026,4,TiO2,nanoparticle,,,,,,,,,
ATC00031,0,Ag,nanoparticle,,Fathead minnow,,,,,,,
ATC00036,0,C,nanotube,,,,,,,,,
ATC00036,1,C,nanotube,,,,,,,,,
ATC00036,2,C,nanotube,,,,,,,,,
ATC00037,0,Ag,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC00037,1,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00037,2,Ag,nanoparticle,,Fundulus heteroclitus,,,,,,,
ATC00037,3,Ag,nanoparticle,,Lemna minuta,,,,,,,
ATC00039,1,C,nanotube,,Danio rerio,,,,,,,
ATC00040,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00041,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00042,0,C,nanotube,,Danio rerio,,,,,,,
ATC00042,1,C,nanotube,,Laeonereis acuta,,,,,,,
ATC00044,0,SiO2,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00045,0,Au,nanoparticle,0.000000031,Danio rerio,,,,,,,
ATC00046,0,C,nanotube,,,,,,,,,
ATC00046,1,C,nanotube,,,,,,,,,
ATC00046,2,C,nanotube,,Daphnia magna,,,,,,,
ATC00046,3,C,nanotube,,Oryzias latipes,,,,,,,
ATC00047,2,Ag,nanoparticle,,,,,,,,,
ATC00047,3,Ag,nanoparticle,,,,,,,,,
ATC00047,6,CuO,nanoparticle,,Eisenia fetida,,,,,,,
ATC00047,7,CuO,nanoparticle,,,,,,,,,
ATC00051,0,Ag,nanoparticle,0.00000003,,,,,,,,
ATC00052,0,Mg,nanoparticle,,,,,,,,,
ATC00052,1,Mg,nanoparticle,,,,,,,,,
ATC00052,4,Mg,nanoparticle,,,,,,,,,
ATC00052,8,MgO,nanoparticle,,Eisenia andrei,,,,,,,
ATC00052,9,MgO,nanoparticle,,Enchytraeus crypticus,,,,,,,
ATC00052,10,MgO,nanoparticle,,Folsomia candida,,,,,,,
ATC00054,0,FexOy,nanoparticle,,,,,,,,,
ATC00054,1,FexOy,nanoparticle,,,,,,,,,
ATC00056,0,Ag,nanoparticle,,,,,,,,,
ATC00056,1,Ag,nanoparticle,,Chlorella vulgaris,,,,,,,
ATC00056,2,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00056,3,Ag,nanoparticle,,Daphnia similis,,,,,,,
ATC00056,4,Ag,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC00056,5,Ag,nanoparticle,,Trichophyton mentagrophytes,,,,,,,
ATC00058,0,Ag,nanoparticle,0.00000004,,,,,,,,
ATC00058,1,Ag,nanoparticle,0.00000004,Escherichia coli,,,,,,,
ATC00058,2,Cu,nanoparticle,0.0000001,Bacillus subtilis,,,,,,,
ATC00058,3,Cu,nanoparticle,0.0000001,,,,,,,,
ATC00061,0,ZnO,nanoparticle,,,,,,,,,
ATC00061,1,ZnO,nanoparticle,,,,,,,,,
ATC00061,2,ZnO,nanoparticle,,,,,,,,,
ATC00061,3,ZnO,nanoparticle,,,,,,,,,
ATC00061,4,Zn,nanoparticle,,,,,,,,,
ATC00061,5,Zn,nanoparticle,,,,,,,,,
ATC00061,6,Zn,nanoparticle,,,,,,,,,
ATC00061,7,Zn,nanoparticle,,,,,,,,,
ATC00062,0,Zr,nanoparticle,,,,,,,,,
ATC00062,1,Zr,nanoparticle,,,,,,,,,
ATC00062,2,ZrO2,nanoparticle,,,,,,,,,
ATC00062,3,ZrO2,nanoparticle,,Danio rerio,,,,,,,
ATC00066,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00067,0,C,nanotube,,Oncorhynchus mykiss,,,,,,,
ATC00069,0,FexOy,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00071,0,ZnO,nanoparticle,,,,,,,,,
ATC00073,0,Cu,nanoparticle,5.83333333333333E-08,,,,,,,,
ATC00074,0,CdSe,dot,,,,,,,,,
ATC00074,1,CdSe,dot,,,,,,,,,
ATC00080,0,Ag,nanoparticle,,Danio rerio,0.000487,,,,,,
ATC00081,0,CeO2,nanoparticle,0.00000003,Caenorhabditis elegans,,,,,,,
ATC00081,1,CeO2,nanoparticle,0.00000003,Caenorhabditis elegans,,,,,,,
ATC00081,2,CeO2,nanoparticle,0.000000015,Caenorhabditis elegans,,,,,,,
ATC00081,3,TiO2,nanoparticle,0.0000000135,Caenorhabditis elegans,,,,,,,
ATC00081,4,TiO2,nanoparticle,0.000000007,Caenorhabditis elegans,,,,,,,
ATC00081,5,TiO2,nanoparticle,0.000000007,Caenorhabditis elegans,,,,,,,
ATC00083,0,C,nanotube,,,,,,,,,
ATC00083,1,C,nanotube,,,,,,,,,
ATC00085,0,Ag,nanoparticle,0.000000025,Bacillus subtilis,,,,,,,
ATC00085,1,Ag,nanoparticle,0.000000005,Bacillus subtilis,,,,,,,
ATC00085,2,Ag,nanoparticle,0.000000025,Escherichia coli,,,,,,,
ATC00085,3,Ag,nanoparticle,0.000000005,Escherichia coli,,,,,,,
ATC00085,4,Ag,nanoparticle,0.000000025,Staphylococcus aureus,,,,,,,
ATC00085,5,Ag,nanoparticle,0.000000005,Staphylococcus aureus,,,,,,,
ATC00086,0,Ag,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC00086,1,Ag,nanoparticle,,,,,,,,,
ATC00087,0,C,nanotube,,Eisenia fetida,,,,,,,
ATC00089,0,Ag,nanoparticle,,Saccharomyces cerevisiae,,,,,,,
ATC00089,1,Ag,nanoparticle,,,,,,,,,
ATC00089,2,Ag,nanoparticle,,,,,,,,,
ATC00090,0,ZnO,nanoparticle,0.00000002,Raphidocelis subcapitata,,,,,,,
ATC00093,0,CeO2,nanoparticle,,,,,,,,,
ATC00093,1,CeO2,nanorod,,,,,,,,,
ATC00094,0,Cu,nanoparticle,,,,,,,,,
ATC00095,2,Ag,nanotube,0.000000009,,,,,,,,
ATC00095,3,Ag,nanotube,0.000000009,,,,,,,,
ATC00095,4,Ag,nanotube,0.000000009,,,,,,,,
ATC00095,5,Ag,nanotube,0.000000009,,,,,,,,
ATC00095,6,Ag,nanotube,0.000000009,,,,,,,,
ATC00095,7,Ag,nanoparticle,0.000000009,,,,,,,,
ATC00095,8,Ag,nanoparticle,0.000000009,,,,,,,,
ATC00095,9,Ag,nanoparticle,0.000000009,,,,,,,,
ATC00095,10,Ag,nanoparticle,0.000000009,,,,,,,,
ATC00095,11,Ag,nanoparticle,0.000000009,,,,,,,,
ATC00096,0,Ag,nanofiber,,,,,,,,,
ATC00096,1,Ag,nanofiber,,Escherichia coli,,,,,,,
ATC00096,2,Ag,nanofiber,,,,,,,,,
ATC00101,0,Zn,nanoparticle,,,,,,,,,
ATC00101,2,ZnO,nanoparticle,,,,,,,,,
ATC00102,0,Ag,nanoparticle,,,,,,,,,
ATC00102,1,Ag,nanoparticle,,,,,,,,,
ATC00102,2,Ag,nanoparticle,,,,,,,,,
ATC00102,3,Ag,nanoparticle,,,,,,,,,
ATC00102,4,Ag,nanoparticle,,,,,,,,,
ATC00103,0,FexOy,nanoparticle,,,,,,,,,
ATC00104,0,Zn,nanoparticle,0.000000025,Oncorhynchus mykiss,,,,,,,
ATC00104,1,ZnO,nanoparticle,0.000000025,Oncorhynchus mykiss,,,,,,,
ATC00106,0,TiO2,nanoparticle,,Pimephales promelas,,,,,,,
ATC00110,0,CuO,nanoparticle,0.000000035,Daphnia magna,,,,,,,
ATC00110,1,Au,nanoparticle,0.000000035,Daphnia magna,,,,,,,
ATC00110,2,ZnO,nanoparticle,0.000000035,Daphnia magna,,,,,,,
ATC00110,3,TiO2,nanoparticle,0.000000035,Daphnia magna,,,,,,,
ATC00114,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00116,0,Zn,nanodisk,,,,,,,,,
ATC00116,2,ZnO,nanodisk,,Escherichia coli,,,,,,,
ATC00118,8,Au,nanostar,,,,,,,,,
ATC00118,9,Au,nanostar,,,,,,,,,
ATC00118,10,Au,nanostar,,,,,,,,,
ATC00119,0,C,dot,,,,,,,,,
ATC00121,0,Ag,nanoparticle,,,,,,,,,
ATC00121,1,TiO2,nanoparticle,,,,,,,,,
ATC00121,2,CeO2,nanoparticle,,,,,,,,,
ATC00122,0,Pd,nanoparticle,0.000000012,Danio rerio,,,,,,,
ATC00122,1,Pd,nanoparticle,0.000000012,Daphnia magna,,,,,,,
ATC00122,2,Pd,nanoparticle,0.000000012,Daphnia magna,,,,,,,
ATC00122,3,Pd,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00122,4,Pd,nanoparticle,0.000000012,Danio rerio,,,,,,,
ATC00126,0,TiO2,nanoparticle,0.000000035,Oncorhynchus mykiss,,,,,,,
ATC00126,1,TiO2,nanoparticle,0.000000035,Rainbow trout,,,,,,,
ATC00127,2,C,nanotube,,,,,,,,,
ATC00128,0,ZnO,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00129,1,NiO,nanoparticle,,Eisenia fetida,,,,,,,
ATC00130,0,TiO2,nanoparticle,,Carassius auratus,,,,,,,
ATC00130,1,TiO2,nanoparticle,,Danio rerio,,,,,,,
ATC00133,0,Ag,nanoparticle,0.00000005,,,,,,,,
ATC00136,0,Ag,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00136,1,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00136,2,Ag,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC00136,3,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00137,0,C,nanotube,,,,,,,,,
ATC00139,0,Ag,nanowire,0.00002,,,,,,,,
ATC00139,1,Ag,nanowire,0.00002,,,,,,,,
ATC00140,0,Ag,nanocube,,,,,,,,,
ATC00140,1,Ag,nanocube,,,,,,,,,
ATC00140,12,Ag,nanosphere,,,,,,,,,
ATC00140,13,Ag,nanosphere,,,,,,,,,
ATC00143,1,C,nanotube,,,,,,,,,
ATC00144,0,Ag,nanoparticle,0.00000002,Danio rerio,0.000177,-0.026,,,,,
ATC00144,1,Ag,nanoparticle,0.00000002,Daphnia similis,,-0.026,,,,,
ATC00145,0,ZnO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00145,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC00145,12,ZnO,nanoparticle,,Listeria monocytogenes,,,,,,,
ATC00145,17,ZnO,nanoparticle,,Saccharomyces cerevisiae,,,,,,,
ATC00145,18,ZnO,nanoparticle,,Salmonella enterica,,,,,,,
ATC00145,19,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00146,10,Ag,nanocube,,Lolium multiflorum,,,,,,,
ATC00146,11,Ag,nanocube,,Bacillus cereus,,,,,,,
ATC00146,12,Ag,nanocube,,Caenorhabditis elegans,,,,,,,
ATC00146,13,Ag,nanocube,,Danio rerio,,,,,,,
ATC00146,14,Ag,nanocube,,Pseudomonas aeruginosa,,,,,,,
ATC00147,0,Au,nanoparticle,,,,,,,,,
ATC00147,1,Au,nanoparticle,,,,,,,,,
ATC00147,2,Au,nanoparticle,,Escherichia coli,,,,,,,
ATC00147,3,Au,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC00149,2,Ag,nanowire,0.000000086,Staphylococcus aureus,,,,,,,
ATC00149,3,Ag,nanowire,0.000000086,Escherichia coli,,,,,,,
ATC00150,0,Cu,nanoparticle,0.00000005,,,,,,,,
ATC00151,0,ZnO,nanofiber,,,,,,,,,
ATC00151,1,ZnO,nanofiber,,,,,,,,,
ATC00151,2,ZnO,nanoparticle,0.000000031,,,,,,,,
ATC00151,3,ZnO,nanoparticle,0.000000031,,,,,,,,
ATC00157,0,C,nanotube,,Xenopus laevis,,,,,,,
ATC00164,0,Cu,nanoparticle,0.000000025,,,,,,,,
ATC00166,3,TiO2,nanoparticle,,,,,,,,,
ATC00167,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00167,1,Ag,nanoparticle,,,,,,,,,
ATC00170,0,ZnO,nanoparticle,,Daphnia magna,,,,,,,
ATC00170,1,ZnO,nanoparticle,,Danio rerio,,,,,,,
ATC00171,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00172,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00173,0,CeO2,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC00173,1,CeO2,nanoparticle,,Danio rerio,,,,,,,
ATC00175,0,Ag,nanoparticle,,Daphnia magna,,,,,,,
ATC00175,1,Ag,nanoparticle,,Oryzias latipes,,,,,,,
ATC00175,2,Ag,nanoparticle,,Raphidocelis subcapitata,,,,,,,
ATC00175,3,Ag,nanowire,,Daphnia magna,,,,,,,
ATC00175,4,Ag,nanowire,,Oryzias latipes,,,,,,,
ATC00175,5,Ag,nanowire,,Raphidocelis subcapitata,,,,,,,
ATC00177,9,TiO2,nanoparticle,,,,,,,,,
ATC00179,0,Cu,nanoparticle,0.000000071,Escherichia coli,,,,,,,
ATC00179,1,Cu,nanoparticle,0.000000071,Staphylococcus aureus,,,,,,,
ATC00181,4,Ag,nanoparticle,,,,,,,,,
ATC00181,5,Ag,nanoparticle,,,,,,,,,
ATC00185,0,Ag,nanosphere,,,,,,,,,
ATC00185,1,Ag,nanosphere,,,,,,,,,
ATC00185,2,Ag,nanowire,,,,,,,,,
ATC00185,3,Ag,nanowire,,,,,,,,,
ATC00186,0,C,nanotube,,Danio rerio,,,,,,,
ATC00188,0,ZnO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00188,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC00188,2,ZnO,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC00188,3,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00189,0,Ag,nanoparticle,,,,,,,,,
ATC00189,1,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00189,2,Ag,nanoparticle,,,,,,,,,
ATC00189,3,Ag,nanoparticle,,,,,,,,,
ATC00190,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00191,0,C,nanotube,,Eisenia fetida,,,,,,,
ATC00192,0,ZnO,nanostructure,,Escherichia coli,,,,,,,
ATC00192,1,ZnO,nanostructure,,Staphylococcus aureus,,,,,,,
ATC00195,2,graphene,nanosheet,0.000000106,Escherichia coli,,,,,,,
ATC00195,3,graphene,nanosheet,0.000000106,Staphylococcus aureus,,,,,,,
ATC00196,2,Cu,nanowire,,Bacillus subtilis,,,,,,,
ATC00196,3,Cu,nanowire,,Escherichia coli,,,,,,,
ATC00196,0,Cu,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00196,1,Cu,nanoparticle,,Escherichia coli,,,,,,,
ATC00197,0,Ag,nanoparticle,,Staphylococcus aureus,,,50,1.7,,,
ATC00199,1,ZnO,nanostructure,,Escherichia coli,,,,,,,
ATC00199,3,ZnO,nanosphere,,Escherichia coli,,,,,,,
ATC00201,0,CuO,nanoparticle,,Xenopus laevis,,,,,,,
ATC00203,0,Ag,nanoparticle,,Eisenia fetida,,,,,,,
ATC00207,0,graphene,nanoparticle,,Eisenia fetida,,,,,,,
ATC00209,0,TiO2,nanoparticle,,,,,,,,,
ATC00209,1,TiO2,nanoparticle,,,,,,,,,
ATC00210,0,Ag,nanoparticle,,,,,,,,,
ATC00210,1,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00210,2,TiO2,nanoparticle,,,,,,,,,
ATC00210,3,TiO2,nanoparticle,,,,,,,,,
ATC00215,0,Al2O3,nanoparticle,,Danio rerio,,,,,,,
ATC00215,1,Al2O3,nanoparticle,,Xenopus laevis,,,,,,,
ATC00216,1,ZnO,nanorod,,,,,,,,,
ATC00217,2,Au,nanostar,,,,,,,,,
ATC00217,3,Au,nanostar,,,,,,,,,
ATC00220,0,Au,nanorod,,,,,,,,,
ATC00220,1,Au,nanorod,,Raphidocelis subcapitata,,,,,,,
ATC00221,0,Ag,nanoparticle,,Raphidocelis subcapitata,,,,,,,
ATC00222,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00225,0,TiO2,nanoparticle,,Xenopus laevis,,,,,,,
ATC00230,0,Ag,nanoparticle,,,,,,,,,
ATC00231,0,C,nanotube,,Escherichia coli,,,,,,,
ATC00231,1,C,nanotube,,Staphylococcus aureus,,,,,,,
ATC00232,0,Ag,nanoparticle,0.000000003,,,,,,,,
ATC00232,1,Ag,nanoparticle,0.000000003,Escherichia coli,,,,,,,
ATC00232,2,Ag,nanoparticle,0.000000003,,,,,,,,
ATC00236,2,Ag,nanoparticle,,,,,,,,,
ATC00236,3,Ag,nanoparticle,,,,,,,,,
ATC00236,4,SiO2,nanofiber,,,,,,,,,
ATC00236,5,SiO2,nanofiber,,,,,,,,,
ATC00237,0,ZnO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00237,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC00237,2,ZnO,nanorod,,Bacillus subtilis,,,,,,,
ATC00237,3,ZnO,nanorod,,Escherichia coli,,,,,,,
ATC00237,4,ZnO,nanosheet,,Bacillus subtilis,,,,,,,
ATC00237,5,ZnO,nanosheet,,Escherichia coli,,,,,,,
ATC00238,0,Ag,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00238,1,Ag,nanoparticle,,Candida albicans,,,,,0.0156,,
ATC00238,2,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00238,3,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00238,4,Ag,nanoparticle,,,,,,,,,
ATC00239,0,Ag,nanoparticle,,Euglena gracilis,,,,,,,
ATC00239,1,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00241,0,Ag,nanoparticle,,,,,,,,,
ATC00243,0,Ag,nanoparticle,,,,,,,,,
ATC00243,1,Ag,nanoparticle,0.000000015,,,,,,,,
ATC00243,2,Ag,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00243,3,Ag,nanoparticle,0.000000015,Bacillus subtilis,,,,,,,
ATC00243,4,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00243,5,Ag,nanoparticle,0.000000015,Escherichia coli,,,,,,,
ATC00243,6,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00243,7,Ag,nanoparticle,0.000000015,Staphylococcus aureus,,,,,,,
ATC00244,1,Ni,nanowire,,,,,,,,,
ATC00246,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00248,0,C,dot,,,,,,,,,
ATC00248,1,C,dot,,,,,,,,,
ATC00248,12,C,dot,,,,,,,,,
ATC00248,17,C,dot,,,,,,,,,
ATC00249,0,C,nanotube,,,,,,,,,
ATC00249,1,C,nanotube,,,,,,,,,
ATC00249,2,C,nanotube,,,,,,,,,
ATC00249,3,C,nanotube,,,,,,,,,
ATC00250,2,CuO,nanoparticle,,Escherichia coli,,,,,,,
ATC00250,3,CuO,nanoparticle,,,,,,,,,
ATC00253,0,Ag,nanoparticle,,,,,,,,,
ATC00261,0,C,nanotube,,Eisenia fetida,,,,,,,
ATC00264,0,Ag,nanoparticle,,,,,,,,,
ATC00265,0,Ag,nanowire,0.00001,,,,,,,,
ATC00267,0,Ag,nanoparticle,,Eisenia fetida,,,,,,,
ATC00270,0,C,nanotube,,Danio rerio,,,,,,,
ATC00273,0,ZnO,nanoparticle,,,,,,,,,
ATC00274,0,Cu,nanoparticle,,,,,,,,,
ATC00274,1,Cu,nanoparticle,,,,,,,,,
ATC00274,2,Cu,nanoparticle,,,,,,,,,
ATC00275,0,Ag,nanoparticle,,Chaetoceros gracilis,,,,,,,
ATC00275,1,Ag,nanoparticle,,Daphnia lumholtzi,0.0000693,,,,,,
ATC00276,0,C,dot,0.000000004,,,,,,,,
ATC00276,1,C,dot,0.000000004,,,,,,,,
ATC00276,2,C,dot,0.000000004,,,,,,,,
ATC00277,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00277,1,Ag,nanoparticle,,Daphnia magna,,,,,,,
ATC00277,2,Ag,nanoparticle,,Pseudokirchneriella subcapitata,,,,,,,
ATC00278,2,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00278,4,Te,nanowire,,,,,,,,,
ATC00279,0,Ag,nanoparticle,0.000000025,Caenorhabditis elegans,,,,,,,
ATC00279,1,Ag,nanoparticle,0.000000025,Escherichia coli,,,,,,,
ATC00280,0,Cu,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00284,0,SiO2,nanoparticle,0.000000053,Pseudomonas putida,,,,,,,
ATC00284,1,SiO2,nanoparticle,0.000000053,Raphidocelis subcapitata,,,,,,,
ATC00284,2,SiO2,nanoparticle,0.000000053,,,,,,,,
ATC00284,3,SiO2,nanoparticle,0.000000053,Oncorhynchus mykiss,,,,,,,
ATC00284,4,SiO2,nanoparticle,0.000000053,Rainbow trout,,,,,,,
ATC00286,0,ZnO,nanoparticle,,,,,,,,,
ATC00286,1,ZnO,nanoparticle,,,,,,,,,
ATC00289,0,TiO2,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00289,1,TiO2,nanoparticle,,Candida albicans,,,,,,,
ATC00289,2,TiO2,nanoparticle,,Escherichia coli,,,,,,,
ATC00289,3,TiO2,nanoparticle,,Proteus vulgaris,,,,,,,
ATC00289,4,TiO2,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC00289,5,TiO2,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00292,0,Ag,nanoparticle,,Daphnia magna,,,,,,,
ATC00294,0,C,nanotube,,,,,,,,,
ATC00296,0,Au,nanoparticle,0.000000005,Daphnia magna,,,,,,,
ATC00297,0,TiO2,nanoparticle,,,,,,,,,
ATC00299,0,TiO2,nanoparticle,,,,,,,,,
ATC00301,0,Ag,nanoparticle,,,,,,,,,
ATC00301,1,Ag,nanoparticle,,,,,,,,,
ATC00301,2,Ag,nanotube,,,,,,,,,
ATC00301,3,Ag,nanotube,,,,,,,,,
ATC00307,0,Ag,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00307,1,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC00307,2,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00307,3,Ag,nanoparticle,,Pseudomonas putida,,,,,,,
ATC00309,0,FexOy,nanoparticle,,,,,,,,,
ATC00311,0,C,nanotube,,Daphnia magna,,,,,,,
ATC00316,0,Ag,nanoparticle,,,,,,,,,
ATC00317,0,Ag,nanoparticle,,,,,,,,,
ATC00318,0,TiO2,nanoparticle,,,,,,,,,
ATC00321,0,Au,nanoparticle,,Escherichia coli,,,,,,,
ATC00321,1,Au,nanostar,,Escherichia coli,,,,,,,
ATC00322,1,Zn,nanoparticle,,,,,,,,,
ATC00323,8,SiO2,nanorod,,,,,,,,,
ATC00323,9,SiO2,nanorod,,,,,,,,,
ATC00323,12,Au,nanostar,,,,,,,,,
ATC00323,17,Au,nanostar,,,,,,,,,
ATC00325,0,TiO2,nanoparticle,,,,,,,,,
ATC00325,1,ZnO,nanoparticle,,,,,,,,,
ATC00326,0,Fe2O3,nanoparticle,,,,,,,,,
ATC00326,1,Fe2O3,nanoparticle,,,,,,,,,
ATC00326,2,TiO2,nanoparticle,,Danio rerio,,,,,,,
ATC00326,3,TiO2,nanoparticle,,,,,,,,,
ATC00326,4,ZnO,nanoparticle,,,,,,,,,
ATC00326,5,ZnO,nanoparticle,,,,,,,,,
ATC00329,0,Au,nanoparticle,,Eisenia fetida,,,,,,,
ATC00329,1,Ag,nanoparticle,,Eisenia fetida,,,,,,,
ATC00330,3,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC00330,4,ZnO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00330,5,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00335,0,Ag,nanoparticle,,,,,,,,,
ATC00335,1,Au,nanoparticle,,,,,,,,,
ATC00337,0,Ag,nanoparticle,0.000000005,Danio rerio,,,,,,,
ATC00339,0,Ag,nanoparticle,,Carassius auratus,,,,,,,
ATC00342,0,CuO,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00342,1,Cu,nanoparticle,,,,,,,,,
ATC00342,2,Cu,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00343,0,ZnSe,dot,0.000000004,,,,,,,,
ATC00343,1,ZnSe,dot,0.000000004,,,,,,,,
ATC00344,0,ZnO,nanorod,,,,,,,,,
ATC00344,1,ZnO,nanorod,,,,,,,,,
ATC00344,6,ZnO,nanostructure,,,,,,,,,
ATC00344,7,ZnO,nanostructure,,,,,,,,,
ATC00345,16,C,nanotube,,,,,,,,,
ATC00345,17,C,nanotube,,,,,,,,,
ATC00346,0,C,dot,,,,,,,,,
ATC00347,3,Ag,nanoparticle,,,,,,,,,
ATC00347,4,Ag,nanoparticle,,,,,,,,,
ATC00347,5,Ag,nanoparticle,,,,,,,,,
ATC00349,0,Ag,nanostructure,,Escherichia coli,,,,,,,
ATC00349,1,Ag,nanostructure,,Staphylococcus aureus,,,,,,,
ATC00349,2,Ag,nanosphere,,Escherichia coli,,,,,,,
ATC00349,3,Ag,nanosphere,,Staphylococcus aureus,,,,,,,
ATC00351,0,Fe3O4,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC00351,1,Fe3O4,nanoparticle,,Bacillus subtilis,,,,,,,
ATC00351,2,Fe3O4,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC00351,3,Fe3O4,nanoparticle,,Escherichia coli,,,,,,,
ATC00351,4,Fe3O4,nanoparticle,,,,,,,,,
ATC00354,0,TiO2,nanoparticle,,Eisenia fetida,,,,,,,
ATC00354,1,ZnO,nanoparticle,,Eisenia fetida,,,,,,,
ATC00355,6,ZnO,nanorod,,,,,,,,,
ATC00355,7,ZnO,nanorod,,Staphylococcus aureus,,,,,,,
ATC00355,10,Zn,nanorod,,,,,,,,,
ATC00355,11,Zn,nanorod,,,,,,,,,
ATC00357,0,C,nanotube,,,,,,,,,
ATC00358,2,Ag,nanoparticle,,Escherichia coli,,,,,,,
