Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC48760,6,Ag,nanoparticle,0.000000016,Streptococcus pyogenes,,,,,,,
ATC48761,0,TiO2,nanoparticle,0.000000113,,,,,,,,
ATC48762,0,Cu2O,nanoparticle,,,,,,,,,
ATC48763,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC48764,0,NiO,nanoparticle,,Bacillus cereus,,,,,,,
ATC48764,1,NiO,nanoparticle,,,,,,,,,
ATC48764,2,NiO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC48765,0,Ag,nanoparticle,,Pseudomonas aeruginosa,,,,,40000,,
ATC48766,0,Ag,nanoparticle,,,,,,,,,
ATC48766,1,Ag,nanoparticle,,,,,,,,,
ATC48766,2,Ag,nanoparticle,,,,,,,,,
ATC48770,1,Zn,nanorod,,,,,,,,,
ATC48770,3,ZnO,nanorod,,,,,,,,,
ATC48774,0,Ag,nanoparticle,,,,,,,,,
ATC48774,1,Ag,nanoparticle,,,,,,,,,
ATC48774,2,Ag,nanoparticle,,,,,,,,,
ATC48790,0,Au,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC48794,0,Cu,nanoparticle,,,,,,,,,
ATC48794,1,CuO,nanoparticle,,Pseudomonas fluorescens,,,,,,,
ATC48795,0,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC48806,0,SiO2,nanoparticle,,,,,,,,,
ATC48825,0,Ag,nanoparticle,,,,,,,,,
ATC48828,0,Ag,nanoparticle,,,,,,,,,
ATC48829,0,Zn,nanoparticle,,,,,,,,,
ATC48829,1,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC48830,1,TiO2,nanoparticle,,,,,,,,,
ATC48848,0,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48848,1,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48848,2,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48848,3,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48848,4,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48848,5,Ag,nanoparticle,0.0000001,,,,,,,,
ATC48850,0,Ag,nanoparticle,0.00000002,Staphylococcus aureus,,,,,,,0.01
ATC48850,1,Ag,nanoparticle,0.00000002,Salmonella enterica,,,,,,,0.0125
ATC48850,2,Ag,nanoparticle,0.00000002,Gardenia jasminoides,,,,,,,
ATC48852,0,Fe,nanoparticle,,,,,,,,,
ATC48855,0,C,nanotube,,,,,,,,,
ATC48858,0,Au,nanoparticle,0.000000013,,,,,,,,
ATC48858,1,Au,nanoparticle,0.000000013,,,,,,,,
ATC48858,2,Au,nanoparticle,0.000000013,,,,,,,,
ATC48866,0,SiO2,nanoparticle,,,,,,,,,
ATC48866,1,SiO2,nanoparticle,,,,,,,,,
ATC48868,0,C,nanotube,,,,,,,,,
ATC48870,0,Fe,nanoparticle,,,,,,,,,
ATC48877,0,WS2,nanosheet,,,,,,,,,
ATC48881,0,Au,nanoparticle,,,,,,,,,
ATC48893,0,TiO2,nanoparticle,,,,,,,,,
ATC48893,1,TiO2,nanoparticle,,,,,,,,,
ATC48914,0,Ag,nanoparticle,0.000000012,,,,,,,,
ATC48914,1,Ag,nanoparticle,0.000000012,Chromobacterium violaceum,,,76.49,,0.0125,,
ATC48914,2,Ag,nanoparticle,0.000000012,Pseudomonas aeruginosa,,,65.31,,0.025,,
ATC48921,0,Ag,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC48921,1,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC48928,0,Fe3O4,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC48928,1,Fe3O4,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC48935,0,Au,nanoparticle,,,,,,,,,
ATC48952,0,Ag,nanoparticle,,,,,,,,,
ATC48952,1,Ag,nanoparticle,,,,,,,,,
ATC48952,2,Ag,nanoparticle,,,,,,,,,
ATC48952,3,Ag,nanoparticle,,,,,,,,,
ATC48958,0,Zn,nanoparticle,,,,,,,,,
ATC48961,0,Ag,nanowire,,,,,,,,,
ATC48988,0,CuO,nanoparticle,,,,,,,,,
ATC48992,0,CuO,nanoparticle,0.000000095,,,,,,,,
ATC48992,1,CuO,nanoparticle,0.000000153,,,,,,,,
ATC48992,2,CuO,nanoparticle,0.000000095,Streptococcus pneumoniae,,,,,,,
ATC48992,3,CuO,nanoparticle,0.000000153,Streptococcus pneumoniae,,,,,,,
ATC48992,4,CuO,nanoparticle,0.000000095,,,,,,,,
