,article_doi,Publication Year
ATC000173,doi:10.1016/j.ijpharm.2024.123982,2024
ATC000174,doi:10.1016/j.chemosphere.2022.135977,2022
ATC000175,doi:10.1016/j.ijbiomac.2020.11.088,2021
ATC000176,doi:10.1016/j.pdpdt.2019.101639,2020
ATC000177,doi:10.1016/j.ceramint.2021.04.160,2021
ATC000178,doi:10.1016/j.chemosphere.2020.126792,2020
ATC000179,doi:10.1016/j.apsusc.2019.144282,2020
ATC000180,doi:10.1016/j.ejpb.2020.01.013,2020
ATC000181,doi:10.1016/j.ijbiomac.2019.03.133,2019
ATC000182,doi:10.1016/j.scitotenv.2020.144462,2021
ATC000183,doi:10.1016/j.chemosphere.2016.11.142,2017
ATC000184,doi:10.1016/j.exppara.2011.10.002,2012
ATC000185,doi:10.1016/j.molstruc.2019.127655,2020
ATC000186,doi:10.1016/j.jcis.2020.06.038,2020
ATC000187,doi:10.1016/j.ijbiomac.2020.01.041,2020
ATC000188,doi:10.1016/j.biortech.2015.09.087,2015
ATC000189,doi:10.1016/j.envpol.2020.116084,2021
ATC000190,doi:10.1016/j.apsusc.2016.08.041,2016
ATC000191,doi:10.1016/j.cplett.2021.139040,2021
ATC000192,doi:10.1016/j.watres.2012.01.015,2012
ATC000193,doi:10.1016/j.scitotenv.2022.153266,2022
ATC000194,doi:10.1016/j.matdes.2022.111487,2023
ATC000195,doi:10.1016/j.apradiso.2021.109774,2021
ATC000196,doi:10.1016/j.matchemphys.2023.127673,2023
ATC000197,doi:10.1016/j.jhazmat.2020.122445,2020
ATC000198,doi:10.1016/j.fct.2021.112035,2021
ATC000199,doi:10.1016/j.ijbiomac.2023.128817,2024
ATC000200,doi:10.1016/j.talanta.2022.123454,2022
ATC000201,doi:10.1016/j.materresbull.2017.05.026,2017
ATC000202,doi:10.1016/j.ceramint.2019.08.163,2019
ATC000203,doi:10.1016/j.jcis.2024.05.148,2024
ATC000204,doi:10.1016/j.apsusc.2015.10.102,2016
ATC000205,doi:10.1016/j.molstruc.2021.131818,2022
ATC000206,doi:10.1016/j.ijbiomac.2020.03.187,2020
ATC000207,doi:10.1016/j.solmat.2017.04.006,2017
ATC000208,doi:10.1016/j.micromeso.2011.06.031,2012
ATC000209,doi:10.1016/j.jddst.2018.07.020,2018
ATC000210,doi:10.1016/j.jphotochem.2019.112049,2019
ATC000211,doi:10.1016/j.scitotenv.2023.162606,2023
ATC000212,doi:10.1016/j.pdpdt.2022.102901,2022
ATC000213,doi:10.1016/j.biomaterials.2008.10.059,2009
ATC000214,doi:10.1016/j.ica.2017.05.037,2017
ATC000215,doi:10.1016/j.molstruc.2014.11.004,2015
ATC000216,doi:10.1016/j.carres.2004.09.007,2004
ATC000217,doi:10.1016/j.biomaterials.2016.12.014,2017
ATC000218,doi:10.1016/j.apcatb.2015.04.041,2015
ATC000219,doi:10.1016/j.chemosphere.2021.132275,2022
ATC000220,doi:10.1016/j.matlet.2019.01.116,2019
ATC000221,doi:10.1016/j.inoche.2022.109830,2022
ATC000222,doi:10.1016/j.scitotenv.2021.150228,2022
ATC000223,doi:10.1016/j.colsurfa.2023.131955,2023
ATC000224,doi:10.1016/j.jre.2023.10.002,2024
ATC000225,doi:10.1016/j.apsusc.2018.12.270,2019
ATC000226,doi:10.1016/j.ifset.2022.103116,2022
ATC000227,doi:10.1016/j.apcatb.2013.04.077,2013
ATC000228,doi:10.1016/j.jcis.2018.12.099,2019
ATC000229,doi:10.1016/j.scitotenv.2017.02.114,2017
ATC000230,doi:10.1016/j.biombioe.2019.02.011,2019
ATC000231,doi:10.1016/j.nano.2011.03.003,2011
ATC000232,doi:10.1016/j.cej.2023.142311,2023
ATC000233,doi:10.1016/j.mtcomm.2023.107597,2024
ATC000234,doi:10.1016/j.bios.2014.05.045,2014
ATC000235,doi:10.1016/j.foodhyd.2014.12.026,2015
ATC000236,doi:10.1016/S0732-8893(01)00299-1,2001
ATC000237,doi:10.1016/j.inoche.2023.110503,2023
ATC000238,doi:10.1016/j.vaccine.2011.08.087,2011
ATC000239,doi:10.1016/j.ceramint.2016.10.031,2017
ATC000240,doi:10.1016/j.foodchem.2023.136871,2023
ATC000241,doi:10.1016/j.ijbiomac.2016.03.031,2016
ATC000242,doi:10.1016/j.ijbiomac.2022.10.206,2023
ATC000243,doi:10.1016/j.cej.2020.126801,2021
ATC000244,doi:10.1016/j.matchemphys.2022.125843,2022
ATC000245,doi:10.1016/j.scitotenv.2020.142315,2021
